address_city;address_district;count
ERZURUM;CAT;11960
MUGLA;DATCA;11953
BURSA;KELES;11944
USAK;ULUBEY/USAK;11928
BARTIN;AMASRA;11903
ADIYAMAN;SINCIK;11860
DUZCE;CILIMLI;11825
IGDIR;ARALIK;11761
RIZE;FINDIKLI;11733
YOZGAT;SARAYKENT;11729
ANKARA;KALECIK;11723
TUNCELI;CEMISGEZEK;11720
ADANA;SAIMBEYLI;11661
NEVSEHIR;KOZAKLI;11648
BOLU;MENGEN;11596
ERZINCAN;TERCAN;11543
TRABZON;CARSIBASI;11523
ANTALYA;AKSEKI;11422
AGRI;TASLICAY;11396
SAMSUN;ASARCIK;11396
TRABZON;DUZKOY;11332
KUTAHYA;HISARCIK;11306
DENIZLI;SERINHISAR;11201
MANISA;GOLMARMARA;11199
ERZURUM;NARMAN;11068
VAN;SARAY/VAN;11041
ELAZIG;BASKIL;10994
GIRESUN;PIRAZIZ;10883
VAN;CATAK;10842
AGRI;HAMUR;10798
KONYA;HADIM;10783
OSMANIYE;SUMBAS;10741
SINOP;TURKELI;10710
GIRESUN;EYNESIL;10564
DUZCE;GUMUSOVA;10417
YOZGAT;KADISEHRI;10385
ORDU;CATALPINAR;10374
SAKARYA;SOGUTLU;10346
TOKAT;PAZAR/TOKAT;10340
ELAZIG;MADEN;10305
IZMIR;BEYDAG;10279
KAHRAMANMARAS;NURHAK;10252
NIGDE;CAMARDI;10219
KASTAMONU;DEVREKANI;10208
SIIRT;SIRVAN;10171
TRABZON;CAYKARA;10082
KARABUK;ESKIPAZAR;10041
MALATYA;YAZIHAN;10038
ISPARTA;SUTCULER;10014
BURSA;BUYUKORHAN;10011
NIGDE;ALTUNHISAR;9992
ORDU;MESUDIYE;9931
ISPARTA;SENIRKENT;9863
ESKISEHIR;ALPU;9851
SIVAS;KOYULHISAR;9848
ADIYAMAN;CELIKHAN;9657
ANKARA;AYAS;9649
KAHRAMANMARAS;EKINOZU;9625
ORDU;CAYBASI;9543
ERZURUM;KOPRUKOY;9501
KARAMAN;SARIVELILER;9495
NEVSEHIR;HACIBEKTAS;9491
TRABZON;SALPAZARI;9474
BURDUR;CAVDIR;9461
SINOP;ERFELEK;9451
USAK;KARAHALLI;9415
KONYA;ALTINEKIN;9411
BILECIK;GOLPAZARI;9344
BILECIK;PAZARYERI;9340
ORDU;KABATAS;9318
KIRIKKALE;YAHSIHAN;9314
AKSARAY;GUZELYURT;9191
AMASYA;GOYNUCEK;9177
ELAZIG;ARICAK;9153
ARTVIN;ARDANUC;9142
DENIZLI;BOZKURT/DENIZLI;9135
DENIZLI;GUNEY;9056
TUNCELI;HOZAT;9046
ERZINCAN;UZUMLU;9023
CANKIRI;ELDIVAN;8978
RIZE;KALKANDERE;8977
SIIRT;ERUH;8957
GUMUSHANE;TORUL;8899
